Model,AUC,LogLoss,Brier,Correlation_with_Statcast
Baseline Logistic,0.7785397234559599,0.533719527867297,0.1753000186399901,0.6981764787334263
Enhanced Logistic,0.7772297783769725,0.5334671392661675,0.1754240089989553,
XGBoost,0.888408934130858,0.38624500620904245,0.12345046398854637,
